"","CODE_REGIS","Presi","VOTOS"
"665",7073,"Fico",82
"666",7073,"Petro",188
"667",7076,"Fajardo",530
"668",7076,"Fico",274
"669",7076,"Petro",177
"670",7077,"Fajardo",1024
"671",7077,"Fico",111
"672",7077,"Petro",266
"673",7078,"Fajardo",447
"674",7078,"Fico",114
"675",7078,"Petro",37
"676",7079,"Fajardo",18129
"677",7079,"Fico",5668
"678",7079,"Petro",16890
"679",7082,"Fajardo",924
"680",7082,"Fico",100
"681",7082,"Petro",87
"682",7085,"Fajardo",606
"683",7085,"Fico",93
"684",7085,"Petro",51
"685",7088,"Fajardo",1041
"686",7088,"Fico",179
"687",7088,"Petro",796
"688",7091,"Fajardo",1622
"689",7091,"Fico",114
"690",7091,"Petro",163
"691",7094,"Fajardo",906
"692",7094,"Fico",72
"693",7094,"Petro",195
"694",7097,"Fajardo",893
"695",7097,"Fico",93
"696",7097,"Petro",220
"697",7100,"Fajardo",3677
"698",7100,"Fico",472
"699",7100,"Petro",1071
"700",7103,"Fajardo",708
"701",7103,"Fico",34
"702",7103,"Petro",24
"703",7106,"Fajardo",2816
"704",7106,"Fico",225
"705",7106,"Petro",549
"706",7109,"Fajardo",1046
"707",7109,"Fico",169
"708",7109,"Petro",122
"709",7112,"Fajardo",655
"710",7112,"Fico",90
"711",7112,"Petro",256
"712",7118,"Fajardo",458
"713",7118,"Fico",175
"714",7118,"Petro",224
"715",7121,"Fajardo",1642
"716",7121,"Fico",141
"717",7121,"Petro",436
"718",7124,"Fajardo",904
"719",7124,"Fico",47
"720",7124,"Petro",69
"721",7127,"Fajardo",1204
"722",7127,"Fico",44
"723",7127,"Petro",115
"724",7130,"Fajardo",644
"725",7130,"Fico",63
"726",7130,"Petro",132
"727",7136,"Fajardo",902
"728",7136,"Fico",208
"729",7136,"Petro",37
"730",7137,"Fajardo",537
"731",7137,"Fico",54
"732",7137,"Petro",40
"733",7139,"Fajardo",2556
"734",7139,"Fico",892
"735",7139,"Petro",1742
"736",7142,"Fajardo",1084
"737",7142,"Fico",112
"738",7142,"Petro",140
"739",7148,"Fajardo",879
"740",7148,"Fico",316
"741",7148,"Petro",167
"742",7151,"Fajardo",3173
"743",7151,"Fico",165
"744",7151,"Petro",665
"745",7154,"Fajardo",985
"746",7154,"Fico",172
"747",7154,"Petro",207
"748",7157,"Fajardo",871
"749",7157,"Fico",134
"750",7157,"Petro",329
"751",7160,"Fajardo",4486
"752",7160,"Fico",887
"753",7160,"Petro",1820
"754",7161,"Fajardo",1133
"755",7161,"Fico",99
"756",7161,"Petro",846
"757",7163,"Fajardo",1593
"758",7163,"Fico",209
"759",7163,"Petro",360
"760",7166,"Fajardo",3087
"761",7166,"Fico",379
"762",7166,"Petro",2908
"763",7169,"Fajardo",1353
"764",7169,"Fico",110
"765",7169,"Petro",308
"766",7173,"Fajardo",599
"767",7173,"Fico",101
"768",7173,"Petro",387
"769",7176,"Fajardo",1110
"770",7176,"Fico",337
"771",7176,"Petro",236
"772",7178,"Fajardo",672
"773",7178,"Fico",75
"774",7178,"Petro",88
"775",7179,"Fajardo",829
"776",7179,"Fico",52
"777",7179,"Petro",112
"778",7181,"Fajardo",6741
"779",7181,"Fico",1473
"780",7181,"Petro",4304
"781",7184,"Fajardo",304
"782",7184,"Fico",68
"783",7184,"Petro",100
"784",7187,"Fajardo",526
"785",7187,"Fico",50
"786",7187,"Petro",41
"787",7190,"Fajardo",1560
"788",7190,"Fico",200
"789",7190,"Petro",246
"790",7193,"Fajardo",531
"791",7193,"Fico",20
"792",7193,"Petro",33
"793",7199,"Fajardo",1475
"794",7199,"Fico",54
"795",7199,"Petro",369
"796",7202,"Fajardo",1388
"797",7202,"Fico",186
"798",7202,"Petro",350
"799",7205,"Fajardo",313
"800",7205,"Fico",26
"801",7205,"Petro",72
"802",7214,"Fajardo",3287
"803",7214,"Fico",2996
"804",7214,"Petro",3883
"805",7215,"Fajardo",1329
"806",7215,"Fico",136
"807",7215,"Petro",137
"808",7217,"Fajardo",2774
"809",7217,"Fico",284
"810",7217,"Petro",688
"811",7220,"Fajardo",1410
"812",7220,"Fico",119
"813",7220,"Petro",364
"814",7223,"Fajardo",771
"815",7223,"Fico",69
"816",7223,"Petro",151
"817",7226,"Fajardo",2907
"818",7226,"Fico",290
"819",7226,"Petro",659
"820",7232,"Fajardo",854
"821",7232,"Fico",151
"822",7232,"Petro",450
"823",7235,"Fajardo",3942
"824",7235,"Fico",329
"825",7235,"Petro",1283
"826",7237,"Fajardo",477
"827",7237,"Fico",36
"828",7237,"Petro",99
"829",7238,"Fajardo",1229
"830",7238,"Fico",207
"831",7238,"Petro",171
"832",7241,"Fajardo",829
"833",7241,"Fico",168
"834",7241,"Petro",164
"835",7247,"Fajardo",661
"836",7247,"Fico",410
"837",7247,"Petro",70
"838",7248,"Fajardo",648
"839",7248,"Fico",106
"840",7248,"Petro",109
"841",7249,"Fajardo",1138
"842",7249,"Fico",223
"843",7249,"Petro",184
"844",7250,"Fajardo",1221
"845",7250,"Fico",363
"846",7250,"Petro",395
"847",7251,"Fajardo",895
"848",7251,"Fico",88
"849",7251,"Petro",251
"850",7253,"Fajardo",2705
"851",7253,"Fico",498
"852",7253,"Petro",795
"853",7256,"Fajardo",874
"854",7256,"Fico",132
"855",7256,"Petro",146
"856",7259,"Fajardo",563
"857",7259,"Fico",114
"858",7259,"Petro",65
"859",7262,"Fajardo",293
"860",7262,"Fico",65
"861",7262,"Petro",50
"862",7265,"Fajardo",1361
"863",7265,"Fico",107
"864",7265,"Petro",405
"865",7268,"Fajardo",2084
"866",7268,"Fico",432
"867",7268,"Petro",632
"868",7271,"Fajardo",2149
"869",7271,"Fico",43
"870",7271,"Petro",187
